grouping_id,group_name,strategy_id,hierarchy_type
37,Ju_Report_ABCDS,530,ju_hierarchy
25,Ju_Report_ABS,130,ju_hierarchy
38,Ju_Report_ABSSEC,1760076,ju_hierarchy
55,Ju_Report_ACCOUNTING,1762534,ju_hierarchy
44,Ju_Report_ALL,-1,ju_hierarchy
34,Ju_Report_ALU,157,ju_hierarchy
63,Ju_Report_CNFFUTURES,1771069,ju_hierarchy
43,Ju_Report_COLL,1760082,ju_hierarchy
27,Ju_Report_DART,155,ju_hierarchy
11,Ju_Report_DHVS-AC,650,ju_hierarchy
21,Ju_Report_DIST,141,ju_hierarchy
26,Ju_Report_ENGY ,154,ju_hierarchy
52,Ju_Report_EOMM,1761333,ju_hierarchy
49,Ju_Report_EUFI,152,ju_hierarchy
46,Ju_Report_EXTINCT,1760951,ju_hierarchy
50,Ju_Report_FI,1761504,ju_hierarchy
15,Ju_Report_FUTALOC,9998,ju_hierarchy
13,Ju_Report_FUTURES,68,ju_hierarchy
14,Ju_Report_FXVOL,120,ju_hierarchy
18,Ju_Report_GCAS,20,ju_hierarchy
23,Ju_Report_GCSA,-3,ju_hierarchy
19,Ju_Report_GOPT,1753890,ju_hierarchy
57,Ju_Report_IDXV,1768930,ju_hierarchy
51,Ju_Report_INEQ,1762554,ju_hierarchy
1,Ju_Report_JCAS,486,ju_hierarchy
24,Ju_Report_JCSA,-4,ju_hierarchy
20,Ju_Report_JOPT,550,ju_hierarchy
4,Ju_Report_JPEQ,487,ju_hierarchy
48,Ju_Report_JPFI,153,ju_hierarchy
8,Ju_Report_JPLS,400,ju_hierarchy
41,Ju_Report_JPSE,1760030,ju_hierarchy
7,Ju_Report_LOSH,180,ju_hierarchy
28,Ju_Report_MKPT,1753902,ju_hierarchy
56,Ju_Report_ORNT,1764993,ju_hierarchy
3,Ju_Report_PEEQ,1753867,ju_hierarchy
35,Ju_Report_PELS,185,ju_hierarchy
42,Ju_Report_PESE,1760031,ju_hierarchy
29,Ju_Report_PRIVEQ,1759635,ju_hierarchy
61,Ju_Report_QAM,1771641,ju_hierarchy
31,Ju_Report_REINS,1759520,ju_hierarchy
30,Ju_Report_REST,145,ju_hierarchy
12,Ju_Report_SSA,92,ju_hierarchy
36,Ju_Report_TEST,9999,ju_hierarchy
40,Ju_Report_TREASURY,1760027,ju_hierarchy
32,Ju_Report_TRSY,1759639,ju_hierarchy
16,Ju_Report_UCAS,14,ju_hierarchy
10,Ju_Report_UCOR,13641,ju_hierarchy
22,Ju_Report_UCSA,-2,ju_hierarchy
53,Ju_Report_UELL,1761613,ju_hierarchy
9,Ju_Report_UEMA,600,ju_hierarchy
54,Ju_Report_UEMABOND,1761766,ju_hierarchy
6,Ju_Report_ULOH,1753990,ju_hierarchy
62,Ju_Report_UMR,1771649,ju_hierarchy
17,Ju_Report_UOPT,81,ju_hierarchy
2,Ju_Report_USEQ,10,ju_hierarchy
33,Ju_Report_USEQBOND,110,ju_hierarchy
47,Ju_Report_USFI,151,ju_hierarchy
5,Ju_Report_USSE,1753900,ju_hierarchy
39,Ju_Report_ZZZ_TEST_ACN,8888,ju_hierarchy
45,JuLikeMultipleParent_ALL,-1,ju_like_multi_parent
60,JuLikeMultipleParent_ALL_SPN,-1,ju_like_multi_parent
