from,to,knowledge_begin_date,knowledge_end_date,operation_code
83438:5,83438:5,2013-05-05 06:08:40.917,,N
1004502:5,1004502:5,2019-01-06 19:09:46.027,,N
1760000:5,1760000:5,2013-05-05 06:08:40.917,,N
1760101:5,1760101:5,2013-05-05 06:08:40.917,,N
1760109:5,1760109:5,2013-05-05 06:08:40.917,,N
1760130:5,1760130:5,2013-05-05 06:08:40.917,,N
1760185:5,1760185:5,2013-05-05 06:08:40.917,,N
1760189:5,1760189:5,2013-05-05 06:08:40.917,,N
1760197:5,1760197:5,2013-05-05 06:08:40.917,,N
1760198:5,1760198:5,2013-05-05 06:08:40.917,,N
1760213:5,1760213:5,2013-05-05 06:08:40.917,,N
2000007:5,2000007:5,2013-05-05 06:08:40.917,,N
10000019:5,10000019:5,2013-05-05 06:08:40.917,,N
10000036:5,10000036:5,2013-05-05 06:08:40.917,,N
10000214:5,10000214:5,2013-05-05 06:08:40.917,,N
10000228:5,10038387:5,2013-05-05 06:08:40.917,,N
10000290:5,10000290:5,2013-05-05 06:08:40.917,,N
10000625:5,10000625:5,2013-05-05 06:08:40.917,,N
10000654:5,10000654:5,2013-05-05 06:08:40.917,,N
10002890:5,10002890:5,2017-11-29 08:23:21.633,,N
10005895:5,10005895:5,2013-05-05 06:08:40.917,2015-04-13 06:39:38.267,N
10005895:5,10005895:5,2015-09-01 10:21:27.330,2015-09-23 02:18:26.570,A
10005895:5,10005896:5,2015-04-13 06:39:38.267,2015-09-01 10:21:27.330,A
10005895:5,10005896:5,2015-09-23 02:18:26.570,,A
10005896:5,10005895:5,2015-09-02 02:13:13.977,2015-09-23 02:18:26.570,A
10005896:5,10005896:5,2013-05-05 06:08:40.917,2015-09-02 02:13:13.977,N
10005896:5,10005896:5,2015-09-23 02:18:26.570,,A
10006049:5,10006049:5,2013-05-05 06:08:40.917,2015-04-13 06:39:38.267,N
10006049:5,10006050:5,2015-04-13 06:39:38.267,,A
10006050:5,10006050:5,2013-05-05 06:08:40.917,,N
10006209:5,10006209:5,2013-05-05 06:08:40.917,,N
10006363:5,10006363:5,2013-05-05 06:08:40.917,2018-01-24 20:08:03.240,N
10006363:5,10006363:5,2018-02-10 14:17:18.050,2018-10-05 14:15:03.820,A
10006363:5,10006363:5,2018-01-24 20:08:03.240,2018-02-10 14:17:18.050,A
10006363:5,10006363:5,2018-10-05 14:15:03.820,2018-10-30 16:17:53.227,A
10006363:5,52172453:5,2018-10-30 16:17:53.227,,A
10006431:5,10006431:5,2013-05-05 06:08:40.917,,N
10006435:5,10006435:5,2013-05-05 06:08:40.917,,N
10006691:5,10006691:5,2013-05-05 06:08:40.917,2015-04-13 06:39:38.267,N
10006691:5,10006692:5,2015-04-13 06:39:38.267,,A
10006692:5,10006692:5,2013-05-05 06:08:40.917,,N
10006697:5,10006697:5,2013-05-05 06:08:40.917,,N
10006743:5,10006743:5,2019-10-25 08:30:45.117,,N
10006795:5,10006795:5,2013-05-05 06:08:40.917,2015-04-13 06:39:38.267,N
10006795:5,10006795:5,2021-07-22 02:21:18.277,,A
10006795:5,10006796:5,2015-04-13 06:39:38.267,2021-07-22 02:21:18.277,A
10006796:5,10006795:5,2021-07-22 02:21:18.277,,A
10006796:5,10006796:5,2013-05-05 06:08:40.917,2021-07-22 02:21:18.277,N
10006838:5,10006838:5,2013-05-05 06:08:40.917,,N
10006868:5,10006868:5,2013-05-05 06:08:40.917,,N
10007106:5,10007106:5,2013-05-05 06:08:40.917,,N
10007492:5,10007492:5,2013-05-05 06:08:40.917,,N
10007581:5,10007581:5,2013-05-05 06:08:40.917,,N
10007661:5,10007661:5,2013-05-05 06:08:40.917,,N
10007679:5,10007679:5,2013-05-05 06:08:40.917,2015-04-13 06:39:38.267,N
10007679:5,10007679:5,2017-11-28 03:12:53.290,,A
10007679:5,52177018:5,2015-04-13 06:39:38.267,2017-11-28 03:12:53.290,A
10007846:5,10007846:5,2013-05-05 06:08:40.917,,N
10007850:5,10007850:5,2013-05-05 06:08:40.917,,N
10007878:5,10007878:5,2013-05-05 06:08:40.917,,N
10007892:5,10007892:5,2013-05-05 06:08:40.917,,N
10007980:5,10007980:5,2013-05-05 06:08:40.917,,N
10007997:5,10007997:5,2013-05-05 06:08:40.917,,N
10008137:5,10008137:5,2013-05-05 06:08:40.917,,N
10008142:5,10008142:5,2013-05-05 06:08:40.917,,N
10008225:5,10008225:5,2013-05-05 06:08:40.917,,N
10008251:5,10008251:5,2013-05-05 06:08:40.917,,N
10008257:5,10008257:5,2013-05-05 06:08:40.917,,N
10008333:5,10008333:5,2013-05-05 06:08:40.917,,N
10008405:5,10008405:5,2013-05-05 06:08:40.917,,N
10008466:5,10008466:5,2013-05-05 06:08:40.917,,N
10008618:5,10008618:5,2013-05-05 06:08:40.917,,N
