from,to
83438:5,83438:5
1004502:5,1004502:5
1760000:5,1760000:5
1760101:5,1760101:5
1760109:5,1760109:5
1760130:5,1760130:5
1760185:5,1760185:5
1760189:5,1760189:5
1760197:5,1760197:5
1760198:5,1760198:5
1760213:5,1760213:5
2000007:5,2000007:5
10000019:5,10000019:5
10000036:5,10000036:5
10000214:5,10000214:5
10000228:5,10038387:5
10000290:5,10000290:5
10000625:5,10000625:5
10000654:5,10000654:5
10002890:5,10002890:5
10005895:5,10005896:5
96659326:5,96659326:5
96672613:5,96772983:5
96680431:5,54235565:5
96680440:5,96680440:5
96762526:5,97302807:5
96762542:5,96762526:5
96762543:5,96762526:5
96762544:5,96762526:5
96772983:5,96772983:5
96833328:5,96833328:5
96833329:5,96833329:5
96849746:5,53710127:5
96849747:5,10085445:5
96857542:5,96857542:5
96912797:5,53710127:5
96947678:5,96947678:5
96949926:5,96949926:5
96950705:5,53710127:5
96952358:5,96952358:5
96955268:5,96955268:5
96955271:5,96955271:5
96984146:5,96984146:5
96984798:5,53580990:5
96999727:5,96999727:5
97036927:5,97036927:5
97190934:5,97190934:5
97193603:5,97193603:5
97267516:5,97267516:5
97302807:5,60402551:5
97302810:5,97302807:5
97302811:5,97302807:5
97302812:5,97302807:5
97303751:5,97303751:5
97304401:5,97304401:5
97364031:5,97364031:5
97364036:5,97364036:5
97364037:5,97364037:5
97371296:5,97371296:5
97444364:5,97444364:5
97492999:5,97492999:5
97517900:5,97517900:5
97545133:5,52001598:5
97545134:5,52001598:5
97555136:5,62517155:5
97573775:5,97573775:5
97761708:5,97761708:5
97824578:5,97824578:5
97837740:5,97837740:5
97850792:5,10006691:5
97873222:5,62047936:5
97911428:5,97911428:5
97911772:5,52172015:5
97927387:5,97927387:5
97939353:5,97939353:5
97951214:5,97951214:5
97951579:5,60402350:5
97953849:5,97953849:5
97962741:5,97962741:5
98005563:5,98005563:5
98022185:5,98022185:5
98024840:5,98024840:5
98024844:5,98024844:5
98024845:5,98024845:5
98026673:5,98026673:5
98050043:5,98050043:5
98050044:5,98050044:5
98050299:5,81336572:5
98068171:5,98068171:5
98068172:5,98068172:5
98103198:5,98103198:5
98239354:5,60402396:5
98268076:5,56078489:5
98268162:5,98268162:5
98268177:5,98268177:5
98325778:5,98325778:5
98326163:5,56078489:5
98327011:5,98327011:5
98355192:5,10007679:5
98461448:5,98461448:5
98485470:5,62064509:5
98485471:5,62064509:5
98492823:5,98492823:5
98492827:5,98492827:5
98492831:5,98492831:5
98555498:5,98555498:5
98556552:5,98556552:5
98560351:5,98560351:5
98568797:5,60402396:5
98568798:5,62064509:5
98568801:5,60402396:5
98570084:5,98570084:5
98575009:5,98575009:5
98619185:5,98619185:5
98640925:5,98640925:5
98650247:5,98650247:5
98650537:5,98650537:5
98658955:5,98658955:5
98688110:5,98688110:5
98700210:5,98700210:5
98700624:5,98700624:5
98887836:5,98887836:5
98932236:5,98932236:5
98933554:5,60402532:5
98933565:5,98933565:5
98978037:5,98978037:5
98984781:5,98984781:5
98984783:5,98984783:5
98988320:5,98988320:5
98995113:5,10070226:5
98997103:5,98997103:5
98997109:5,98997109:5
99004985:5,99004985:5
99004988:5,99004988:5
99045565:5,99045565:5
99071785:5,99071785:5
99075209:5,99075209:5
99088227:5,99088227:5
99089971:5,99089971:5
99152646:5,99152646:5
99152648:5,99152648:5
99161137:5,99161137:5
99168757:5,99168757:5
99168759:5,99168759:5
99168768:5,99168768:5
99180019:5,94012013:5
99180020:5,61018500:5
99180021:5,61018500:5
99180022:5,62659901:5
99180023:5,61018500:5
99180024:5,62659901:5
99180025:5,94012013:5
99180029:5,94012013:5
99192363:5,99192363:5
99192481:5,99192481:5
99380412:5,99380412:5
99386254:5,99386254:5
99392458:5,99392458:5
99392743:5,60402291:5
99392748:5,60402291:5
99459120:5,99459120:5
99475144:5,99475144:5
99475148:5,99475148:5
99475149:5,99475149:5
99531404:5,99531404:5
99532545:5,53578252:5
99532548:5,10099991:5
99561496:5,99561496:5
99574083:5,99574083:5
99633952:5,99633952:5
99652274:5,99652274:5
99653733:5,62482893:5
99655783:5,99655783:5
99672313:5,99672313:5
99678271:5,99678271:5
99678273:5,99678273:5
99684020:5,99684020:5
99690184:5,99690184:5
99690185:5,99690185:5
99690188:5,99690188:5
99699531:5,99699531:5
99699533:5,99699533:5
99713171:5,99713171:5
99714131:5,54644511:5
99740077:5,99740077:5
99877066:5,99877066:5
99877067:5,99877067:5
99877082:5,99877082:5
99877085:5,99877085:5
99949542:5,99949542:5
99949641:5,99949641:5
99958598:5,99958598:5
99969295:5,63076520:5
99978389:5,99978389:5
99980629:5,99980629:5
99980630:5,99980630:5
99987372:5,99987372:5
99987755:5,63076520:5
99988194:5,99988194:5
99988201:5,99988201:5
99995504:5,99995504:5
99995507:5,99995507:5
99995512:5,99995512:5
99995513:5,99995513:5
99997024:5,99997024:5
100095435:5,60402551:5
100095511:5,100095435:5
100095512:5,100095435:5
100095513:5,100095435:5
100097311:5,60402243:5
100104611:5,100104611:5
100144867:5,100144867:5
100146473:5,54639510:5
100180905:5,100180905:5
100225942:5,54639511:5
100243805:5,53581033:5
100244110:5,100244110:5
100244147:5,100244147:5
100244148:5,100244148:5
100244149:5,100244149:5
100244152:5,100244152:5
100245861:5,100245861:5
100259402:5,100259402:5
100259867:5,68714888:5
100281352:5,100281352:5
100285005:5,100285005:5
100288795:5,89036515:5
100290414:5,100290414:5
100290419:5,100290419:5
100310595:5,100310595:5
100441595:5,100441595:5
100441597:5,100441597:5
100441849:5,100441849:5
100442026:5,100442026:5
100463497:5,100463497:5
100520362:5,100520362:5
100572825:5,100572825:5
100665454:5,100665454:5
100729593:5,100729593:5
100758869:5,100758869:5
101006016:5,10075880:5
101061505:5,101061505:5
101070848:5,101070848:5
101070850:5,101070850:5
101142623:5,101142623:5
101190141:5,101190141:5
101273495:5,60402491:5
101274688:5,101274688:5
101289003:5,101289003:5
101289005:5,101289005:5
101289808:5,101289808:5
101329031:5,101329031:5
101350000:5,101350000:5
101422028:5,101422028:5
101422033:5,101422033:5
101422077:5,101422077:5
101422079:5,101422079:5
101465919:5,101465919:5
101465922:5,101465922:5
101668048:5,101668048:5
101678468:5,101678468:5
101678471:5,101678471:5
101678480:5,101678480:5
101695815:5,101695815:5
101748234:5,101748234:5
101748239:5,101748239:5
101797527:5,101797527:5
101812908:5,101812908:5
101812934:5,101812934:5
101822744:5,101822744:5
101874589:5,101874589:5
101875003:5,67482077:5
101904961:5,101904961:5
101905797:5,101905797:5
101915421:5,101915421:5
101916528:5,101916528:5
101970435:5,101970435:5
101999225:5,101999225:5
102012293:5,102012293:5
102012294:5,102012294:5
102012296:5,102012296:5
102012299:5,102012299:5
102012303:5,102012303:5
102026016:5,68688591:5
102026051:5,102026051:5
102040391:5,60402581:5
102086269:5,102086269:5
102214753:5,102214753:5
102248195:5,102248195:5
102248196:5,102248196:5
102248204:5,102248204:5
102253931:5,102253931:5
102308385:5,102308385:5
102351227:5,102351227:5
102351229:5,102351229:5
102364796:5,102364796:5
102375646:5,102375646:5
102375650:5,102375650:5
102442034:5,52732454:5
102442035:5,60402511:5
102442036:5,68688591:5
102452220:5,102452220:5
102469819:5,102469819:5
102469838:5,102469838:5
102543972:5,102543972:5
102548170:5,60402511:5
102576752:5,60921936:5
102576753:5,60921936:5
102576754:5,60921936:5
102608814:5,86798615:5
102814777:5,10077738:5
102817945:5,102817945:5
102845788:5,102845788:5
102955023:5,102955023:5
102955025:5,102955025:5
102962312:5,102962312:5
103011247:5,53710125:5
103036950:5,103036950:5
103062939:5,103062939:5
103114521:5,103114521:5
103147812:5,59037776:5
103164480:5,60402581:5
103183442:5,103183442:5
103342749:5,103342749:5
103487862:5,53997295:5
103487863:5,53997295:5
103505978:5,60402551:5
103506021:5,103505978:5
103506022:5,103505978:5
103506023:5,103505978:5
103570136:5,103570136:5
103612318:5,52172015:5
103612321:5,10085445:5
103612322:5,53581033:5
103612325:5,68179181:5
103612327:5,52174319:5
103612329:5,59037776:5
