id,spn,grouping_id
83438:5,83438,5
1004502:5,1004502,5
1760000:5,1760000,5
1760101:5,1760101,5
1760109:5,1760109,5
1760130:5,1760130,5
1760185:5,1760185,5
1760189:5,1760189,5
1760197:5,1760197,5
1760198:5,1760198,5
1760213:5,1760213,5
2000007:5,2000007,5
10000019:5,10000019,5
10000036:5,10000036,5
10000214:5,10000214,5
10000228:5,10000228,5
10038387:5,10038387,5
10000290:5,10000290,5
10000625:5,10000625,5
10000654:5,10000654,5
10002890:5,10002890,5
10005895:5,10005895,5
10005896:5,10005896,5
10006049:5,10006049,5
10006050:5,10006050,5
10006209:5,10006209,5
10006363:5,10006363,5
52172453:5,52172453,5
10006431:5,10006431,5
10006435:5,10006435,5
10006691:5,10006691,5
10006692:5,10006692,5
10006697:5,10006697,5
10006743:5,10006743,5
10006795:5,10006795,5
10006796:5,10006796,5
10006838:5,10006838,5
10006868:5,10006868,5
10007106:5,10007106,5
10007492:5,10007492,5
10007581:5,10007581,5
10007661:5,10007661,5
10007679:5,10007679,5
52177018:5,52177018,5
10007846:5,10007846,5
10007850:5,10007850,5
10007878:5,10007878,5
10007892:5,10007892,5
10007980:5,10007980,5
10007997:5,10007997,5
10008137:5,10008137,5
10008142:5,10008142,5
10008225:5,10008225,5
10008251:5,10008251,5
10008257:5,10008257,5
10008333:5,10008333,5
10008405:5,10008405,5
10008466:5,10008466,5
10008618:5,10008618,5
10008656:5,10008656,5
52017374:5,52017374,5
10008727:5,10008727,5
10008757:5,10008757,5
10008762:5,10008762,5
10008774:5,10008774,5
10008791:5,10008791,5
10008823:5,10008823,5
10008856:5,10008856,5
10008877:5,10008877,5
10008881:5,10008881,5
52017412:5,52017412,5
10008934:5,10008934,5
10009025:5,10009025,5
10009027:5,10009027,5
10009096:5,10009096,5
10009355:5,10009355,5
10009365:5,10009365,5
10070329:5,10070329,5
10009582:5,10009582,5
10009681:5,10009681,5
10009750:5,10009750,5
10009791:5,10009791,5
10009935:5,10009935,5
10009954:5,10009954,5
10010018:5,10010018,5
10010052:5,10010052,5
10010063:5,10010063,5
52017318:5,52017318,5
10010065:5,10010065,5
10010103:5,10010103,5
10010154:5,10010154,5
10010215:5,10010215,5
10010321:5,10010321,5
10010425:5,10010425,5
10010532:5,10010532,5
10010607:5,10010607,5
10010631:5,10010631,5
10010684:5,10010684,5
10010694:5,10010694,5
10010777:5,10010777,5
10010920:5,10010920,5
10010925:5,10010925,5
10010978:5,10010978,5
10011233:5,10011233,5
10011299:5,10011299,5
10011332:5,10011332,5
10011359:5,10011359,5
10011363:5,10011363,5
10011407:5,10011407,5
10011467:5,10011467,5
10011560:5,10011560,5
10011590:5,10011590,5
10011632:5,10011632,5
10011633:5,10011633,5
10011796:5,10011796,5
10011820:5,10011820,5
10011880:5,10011880,5
10011991:5,10011991,5
10012123:5,10012123,5
52044742:5,52044742,5
10012143:5,10012143,5
10012200:5,10012200,5
52015938:5,52015938,5
10012244:5,10012244,5
10012283:5,10012283,5
10012287:5,10012287,5
10012291:5,10012291,5
10012381:5,10012381,5
10012384:5,10012384,5
52017380:5,52017380,5
10012438:5,10012438,5
10012463:5,10012463,5
10012593:5,10012593,5
10012599:5,10012599,5
52015944:5,52015944,5
10012661:5,10012661,5
10012711:5,10012711,5
10012739:5,10012739,5
52840361:5,52840361,5
10012786:5,10012786,5
10012787:5,10012787,5
10012792:5,10012792,5
10012793:5,10012793,5
10012815:5,10012815,5
10012975:5,10012975,5
10013072:5,10013072,5
52017317:5,52017317,5
10013192:5,10013192,5
10013246:5,10013246,5
10013300:5,10013300,5
10013304:5,10013304,5
10105474:5,10105474,5
10013311:5,10013311,5
10013371:5,10013371,5
10013504:5,10013504,5
10013734:5,10013734,5
10013746:5,10013746,5
10013755:5,10013755,5
10013788:5,10013788,5
10013832:5,10013832,5
10013892:5,10013892,5
10023432:5,10023432,5
10026068:5,10026068,5
10026095:5,10026095,5
10026968:5,10026968,5
10038334:5,10038334,5
10038690:5,10038690,5
10038728:5,10038728,5
10038731:5,10038731,5
10038827:5,10038827,5
10038864:5,10038864,5
10039145:5,10039145,5
10067888:5,10067888,5
10067889:5,10067889,5
10067890:5,10067890,5
10067894:5,10067894,5
10067895:5,10067895,5
10067899:5,10067899,5
10067900:5,10067900,5
10067901:5,10067901,5
10067902:5,10067902,5
52077320:5,52077320,5
10067906:5,10067906,5
10067910:5,10067910,5
10067919:5,10067919,5
10067922:5,10067922,5
10067938:5,10067938,5
10067939:5,10067939,5
10067953:5,10067953,5
10067954:5,10067954,5
10067955:5,10067955,5
10067956:5,10067956,5
10067957:5,10067957,5
10067959:5,10067959,5
10067962:5,10067962,5
10067963:5,10067963,5
10067967:5,10067967,5
54771096:5,54771096,5
10096602:5,10096602,5
10067975:5,10067975,5
10067985:5,10067985,5
10067986:5,10067986,5
10067987:5,10067987,5
10067991:5,10067991,5
10067993:5,10067993,5
10067994:5,10067994,5
10067999:5,10067999,5
10068001:5,10068001,5
10068002:5,10068002,5
10068007:5,10068007,5
10068013:5,10068013,5
10068021:5,10068021,5
10068024:5,10068024,5
10068031:5,10068031,5
10068035:5,10068035,5
10068037:5,10068037,5
10068058:5,10068058,5
10068062:5,10068062,5
10068063:5,10068063,5
10068066:5,10068066,5
10068069:5,10068069,5
10068071:5,10068071,5
10068073:5,10068073,5
10068075:5,10068075,5
10068076:5,10068076,5
10068091:5,10068091,5
10068092:5,10068092,5
10068093:5,10068093,5
10068096:5,10068096,5
10068097:5,10068097,5
10068098:5,10068098,5
10068099:5,10068099,5
10076526:5,10076526,5
10068101:5,10068101,5
10068104:5,10068104,5
10068110:5,10068110,5
10068112:5,10068112,5
10068113:5,10068113,5
10068120:5,10068120,5
10068121:5,10068121,5
10068123:5,10068123,5
10068126:5,10068126,5
10068128:5,10068128,5
10068129:5,10068129,5
10068131:5,10068131,5
10068134:5,10068134,5
10094372:5,10094372,5
10068138:5,10068138,5
10068154:5,10068154,5
10068159:5,10068159,5
10068165:5,10068165,5
10068170:5,10068170,5
10068172:5,10068172,5
10068173:5,10068173,5
10068175:5,10068175,5
10068178:5,10068178,5
10068189:5,10068189,5
10068194:5,10068194,5
10068198:5,10068198,5
10068206:5,10068206,5
10068208:5,10068208,5
10068213:5,10068213,5
10068215:5,10068215,5
10068222:5,10068222,5
10068228:5,10068228,5
10068233:5,10068233,5
10068248:5,10068248,5
10068254:5,10068254,5
10068257:5,10068257,5
10068258:5,10068258,5
10068260:5,10068260,5
10068296:5,10068296,5
10068304:5,10068304,5
10068306:5,10068306,5
10068310:5,10068310,5
10068331:5,10068331,5
10068332:5,10068332,5
10068346:5,10068346,5
10068354:5,10068354,5
10068369:5,10068369,5
10068377:5,10068377,5
10068385:5,10068385,5
10068386:5,10068386,5
10068391:5,10068391,5
10068393:5,10068393,5
10068398:5,10068398,5
10068407:5,10068407,5
10068409:5,10068409,5
10068410:5,10068410,5
10068412:5,10068412,5
10068421:5,10068421,5
10068428:5,10068428,5
10068431:5,10068431,5
10076271:5,10076271,5
10068437:5,10068437,5
10068443:5,10068443,5
10068445:5,10068445,5
10068447:5,10068447,5
10068535:5,10068535,5
10068536:5,10068536,5
10068537:5,10068537,5
10068547:5,10068547,5
10068556:5,10068556,5
10068557:5,10068557,5
10068559:5,10068559,5
10068560:5,10068560,5
10068562:5,10068562,5
10068565:5,10068565,5
10068567:5,10068567,5
10068568:5,10068568,5
10068572:5,10068572,5
10068575:5,10068575,5
10068576:5,10068576,5
10068577:5,10068577,5
10068579:5,10068579,5
10068581:5,10068581,5
10068584:5,10068584,5
10068591:5,10068591,5
10068593:5,10068593,5
10068594:5,10068594,5
10068603:5,10068603,5
10068607:5,10068607,5
10068611:5,10068611,5
10068616:5,10068616,5
10068621:5,10068621,5
10068623:5,10068623,5
10068624:5,10068624,5
10068626:5,10068626,5
10068629:5,10068629,5
10068632:5,10068632,5
10068644:5,10068644,5
10068645:5,10068645,5
10068646:5,10068646,5
10068655:5,10068655,5
10068657:5,10068657,5
10068664:5,10068664,5
