from,to
121129755:5,121129755:5
121129815:5,121129815:5
121132125:5,121132125:5
121147139:5,121147139:5
121148822:5,121148822:5
121214706:5,121214706:5
121238356:5,121238356:5
121238370:5,121238370:5
121238400:5,121238400:5
121238402:5,121238402:5
121238411:5,121238411:5
121238840:5,121238840:5
121255509:5,121255509:5
121255520:5,121255520:5
121257963:5,121257963:5
121266765:5,50002364:5
121269044:5,121269044:5
121316960:5,121316960:5
121316970:5,121316970:5
121330940:5,121330940:5
121365592:5,121365592:5
121365599:5,121365599:5
121391218:5,121391218:5
121394256:5,121394256:5
121424823:5,121424823:5
121482253:5,121482253:5
121492036:5,121492036:5
121515811:5,121515811:5
121516456:5,121516456:5
121516460:5,121516460:5
121533702:5,121533702:5
121549882:5,121549882:5
121549895:5,121549895:5
121549919:5,121549919:5
121554389:5,121554389:5
121603218:5,121603218:5
121638093:5,121638093:5
121669087:5,121669087:5
121670273:5,115086977:5
121670366:5,115086977:5
121671754:5,121671754:5
121671756:5,121671756:5
121671758:5,121671758:5
121671776:5,121671776:5
121671778:5,121671778:5
121671780:5,121671780:5
121671781:5,121671781:5
121683800:5,121683800:5
121685658:5,121685658:5
121696353:5,121696353:5
121696433:5,121696433:5
121699436:5,121699436:5
121700712:5,121700712:5
121837304:5,121837304:5
121837312:5,121837312:5
121837313:5,121837313:5
121866666:5,121866666:5
121866667:5,121866667:5
121866669:5,121866669:5
121942525:5,121942525:5
121942536:5,121942536:5
121942538:5,121942538:5
121942539:5,121942539:5
121942543:5,121942543:5
121962172:5,121962172:5
121964632:5,121964632:5
121964757:5,121964757:5
121967846:5,121967846:5
121981025:5,121981025:5
121981027:5,121981027:5
121985009:5,121985009:5
122039106:5,122039106:5
122039112:5,122039112:5
122041466:5,122041466:5
122067399:5,122067399:5
122089741:5,122089741:5
122089744:5,122089744:5
122090163:5,122090163:5
122103903:5,122103903:5
122115521:5,10072644:5
122115975:5,122115975:5
122223830:5,122223830:5
122228340:5,122228340:5
122246337:5,122246337:5
122246338:5,122246338:5
122246343:5,122246343:5
122246349:5,122246349:5
122251208:5,99995512:5
122260108:5,10100314:5
122260940:5,122260940:5
122276511:5,122276511:5
122276515:5,122276515:5
122276659:5,122276659:5
122279086:5,122279086:5
122337040:5,122337040:5
122396141:5,122396141:5
122416338:5,122416338:5
122433238:5,122433238:5
122433242:5,122433242:5
122492402:5,122492402:5
122493445:5,55865083:5
122524726:5,122524726:5
122524767:5,122524767:5
122525551:5,56389865:5
122528919:5,122528919:5
122528920:5,122528920:5
122548656:5,122548656:5
122561931:5,122561931:5
122561932:5,122561932:5
122562081:5,122562081:5
122563821:5,68410412:5
122564530:5,122564530:5
122713838:5,122713838:5
